Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Unnamed: 67
Antigua and Barbuda,ATG,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,,,,,,,,,,,,,,,,,,,,,,21300.0,35800.0,40200.0,45900.0,55500.0,65000.0,65000.0,61700.0,58000.0,58000.0,67300.0,68200.0,70800.0,74000.0,77700.0,77700.0,69300.0,70100.0,68200.0,62070.0,72001.0,63361.0,67163.0,25700.0,26985.0,26175.0,27746.0,28356.0,26371.0,39865.0,36533.603996772,33606.0392244309,52572.0,46404.0,40047.0,40928.0,24019.0,23206.966273393,21930.5831283564,64.0,2105.0,,
Australia,AUS,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,,,,,,,,,,,283300.0,288000.0,283800.0,256500.0,18700.0,18700.0,29300.0,246600.0,259100.0,259000.0,257700.0,230800.0,222700.0,230500.0,214200.0,238600.0,266600.0,283300.0,294400.0,230300.0,255900.0,283600.0,324600.0,347700.0,405600.0,396100.0,371200.0,394500.0,378200.0,384800.0,382514.0,388734.0,536867.0,529648.0,324939.0,342509.0,352909.0,353546.0,393363.0,403256.0,572906.0,593145.002471011,622917.0,641451.0,664970.0,668961.0,682937.0,672349.0,665384.0,684170.0,310837.0,383008.0,,
Austria,AUT,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,,,,,,,,,,,14900.0,16500.0,18400.0,20900.0,20000.0,21000.0,23100.0,24000.0,25800.0,26100.0,27200.0,27800.0,36400.0,37700.0,38000.0,37800.0,37700.0,38700.0,40100.0,39900.0,42000.0,47400.0,63600.0,73000.0,87700.0,109000.0,118100.0,121300.0,127900.0,127200.0,138700.0,133561.0,135516.0,128449.0,137049.0,141968.0,149512.0,151070.0,150738.0,138942.0,176195.0,166729.997287091,162715.735981131,166251.0,162576.0,152056.0,149030.0,156761.0,130260.0,330226.0,121668.0,161093.0,,
Azerbaijan,AZE,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22200.0,22200.0,19600.0,19500.0,17200.0,10100.0,8500.0,8012.0,7922.0,8175.0,9195.0,11090.0,12470.0,12777.0,13039.0,12008.0,10264.0,9885.0,15082.0,16597.0,15886.0,21910.0,23781.0,24009.0,20699.0,19960.0,28974.0,11648.0,15844.0,,
Burundi,BDI,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,,,,,,,,,,,,,,,,,300.0,300.0,400.0,400.0,500.0,500.0,500.0,500.0,600.0,600.0,400.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,1000.0,1000.0,1400.0,1400.0,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,,,,,,,,,,,40800.0,40700.0,41000.0,40400.0,37300.0,36100.0,39900.0,42800.0,46000.0,48000.0,47800.0,43000.0,40400.0,39100.0,40400.0,43200.0,45300.0,45900.0,51200.0,59700.0,66500.0,70000.0,77100.0,109100.0,118700.0,141200.0,164700.0,182700.0,213000.0,233300.0,225906.0,178331.0,133682.0,132779.0,154218.0,151939.0,158016.0,173818.0,179019.0,249997.0,127677.532209862,131577.0,132099.342541943,130230.0,132976.52964928,141116.0,147324.0,145540.0,140674.0,137206.817,57072.125,73673.104,,
Benin,BEN,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,,,,,,,,,,,1400.0,1300.0,1000.0,1100.0,1000.0,1100.0,1200.0,1100.0,1100.0,1200.0,1100.0,1600.0,2000.0,2000.0,2000.0,2100.0,2700.0,2600.0,2600.0,1100.0,500.0,1200.0,1100.0,1300.0,1300.0,1300.0,1500.0,1500.0,1500.0,1500.0,1518.0,716.0,,,,,,,,,1255.45454545455,1381.0,1381.0,1728.0,648.0,1209.0,10.0,,,,,,,
Burkina Faso,BFA,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,,,,,,,,,,,1600.0,1500.0,1200.0,1300.0,1300.0,1400.0,1600.0,1500.0,1600.0,1600.0,2300.0,2200.0,2300.0,2300.0,2300.0,2400.0,3600.0,2700.0,2800.0,2800.0,2200.0,2900.0,2800.0,3000.0,3000.0,3100.0,3300.0,1800.0,1800.0,3300.0,3368.0,1983.0,1257.0,1285.0,1415.0,1471.0,1512.0,1614.0,1413.0,1433.0,4235.0,3983.15025906736,3856.22456300177,3780.0,3672.0,3875.0,3861.0,3863.0,3988.0,4105.0,1790.0,3007.0,,
Bangladesh,BGD,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,,,,,,,,,,,,,,13500.0,13000.0,14200.0,13400.0,13000.0,13700.0,14800.0,13500.0,13400.0,13700.0,14300.0,11800.0,13600.0,15000.0,15400.0,13100.0,14600.0,13000.0,13800.0,14600.0,15600.0,13000.0,12600.0,13100.0,12800.0,11900.0,5900.0,6313.0,6486.0,6464.0,7165.0,7403.0,7399.0,7971.0,11139.0,11308.0,16399.0,19299.8261758691,26535.0,26996.2544120399,59064.0,65364.0,55864.0,59728.0,70503.0,53061.0,68351.0,42827.89,50991.0,,
Bulgaria,BGR,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,,,,,,,,,,,17900.0,17800.0,18400.0,19000.0,19800.0,20100.0,22000.0,22200.0,22800.0,26600.0,27000.0,27000.0,34500.0,38000.0,39100.0,37000.0,38700.0,40000.0,39800.0,35900.0,37200.0,15300.0,16500.0,17300.0,16900.0,14700.0,13600.0,12700.0,14600.0,15200.0,12158.0,6687.0,2252.0,4577.0,7848.0,9691.0,12471.0,12221.0,15974.0,11237.0,11321.0,12297.0,11826.0,11736.0,11755.0,11768.0,12187.0,11748.0,11435.0,10111.0,6295.0,464.0,,
Bahrain,BHR,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,,,,,,,,,,,8300.0,7700.0,8300.0,8800.0,4700.0,5400.0,6200.0,6300.0,7200.0,8300.0,9500.0,10000.0,8700.0,9500.0,10100.0,10500.0,9600.0,8800.0,9400.0,10000.0,10900.0,10000.0,12900.0,14700.0,15200.0,13400.0,15400.0,14400.0,12300.0,20900.0,21303.0,20492.0,19752.0,28508.0,32488.0,,,,,69808.0,62473.0,60778.7162603187,63711.9791706662,52452.0,55980.0,57444.0,55592.0,54474.0,57094.0,57321.0,17591.0,29475.0,,
"Bahamas, The",BHS,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,,,,,,,,,,,,,,,,15900.0,16000.0,16500.0,17200.0,29900.0,32000.0,8200.0,9200.0,9100.0,8400.0,18100.0,18000.0,18300.0,19500.0,20200.0,18900.0,18900.0,16700.0,17700.0,17700.0,19300.0,20100.0,9100.0,9300.0,31100.0,31416.0,29395.0,26493.0,24455.0,29817.0,33211.0,33723.0,34402.0,33433.0,30267.0,26395.0,28393.0,30640.0,34188.0,53366.0,48535.0,49095.0,48017.0,54000.0,47733.0,31284.792,27092.684,,
Bosnia and Herzegovina,BIH,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100.0,4300.0,4768.0,4530.0,4394.0,4570.0,,,,,1004.0,1359.0,1573.54975701333,1060.06567164179,750.069402985075,552.0,420.0,81.0,,,,108.0,44.0,,,
Belarus,BLR,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35300.0,35300.0,35300.0,31800.0,5600.0,5700.0,6100.0,5772.0,5891.0,5545.0,6047.0,6211.0,5407.0,5646.0,6210.0,6371.0,5868.0,12101.0,14378.0,14608.0,17820.0,21168.0,22939.0,26857.0,29562.0,31676.0,35741.0,16611.0,12432.0,,
Belize,BLZ,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19855.0,31755.0,59089.0,71401.0,112760.0,120072.0,121581.0,141319.0,125681.690865347,141329.0,130792.986,95608.657,,
Bermuda,BMU,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,,,,,,,,,,,11800.0,11500.0,11900.0,11500.0,11400.0,14600.0,13800.0,14800.0,16400.0,17800.0,18500.0,16700.0,15000.0,15500.0,14900.0,15400.0,17400.0,15300.0,15900.0,16100.0,15600.0,15100.0,14000.0,12600.0,15300.0,16600.0,31700.0,34700.0,32000.0,24000.0,21566.0,20007.0,20560.0,28901.0,25764.0,25644.0,21978.0,24089.0,21088.0,19011.0,37019.0,40751.4507216495,41974.6792042443,33467.0,51017.0018723656,42682.0,45722.0,54102.0,56592.0,49931.0,31354.0,45832.196,,
Brazil,BRA,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,,,,,,,,,,,137700.0,149300.0,156700.0,173200.0,204800.0,209100.0,206100.0,194900.0,193000.0,211100.0,232500.0,236900.0,240200.0,259900.0,337100.0,335100.0,367900.0,386200.0,401900.0,398700.0,415900.0,457700.0,405500.0,400100.0,408300.0,453500.0,483600.0,568600.0,609900.0,692600.0,628081.0,654106.0,627878.0,486777.0,486025.0,514700.0,560838.0,649738.0,647753.0,752225.0,841793.0,970561.0,1002565.0,952307.0,937437.0,944557.0,826943.0,803846.0,832683.0,814301.0,393769.0,529115.0,,
Barbados,BRB,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,,,,,,,,,,,,100.0,200.0,400.0,300.0,400.0,500.0,600.0,600.0,600.0,300.0,400.0,300.0,300.0,300.0,500.0,1400.0,1100.0,700.0,700.0,700.0,700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
